country_code,country,year,Electricity_Access_Pct,Internet_Users_Pct,Mobile_Subscriptions_Per100
SOM,"Somalia, Fed. Rep.",2022,48.9,27.6,49.6800986995936
SOM,"Somalia, Fed. Rep.",2023,50.3,26.12010002,53.9579646939598
SOM,"Somalia, Fed. Rep.",2024,54.4,27.94020081,
SSD,South Sudan,2010,1.5,,15.3910038351303
SSD,South Sudan,2011,2.8,,17.4959266080871
SSD,South Sudan,2012,3.3,1.5,21.3829367883201
SSD,South Sudan,2013,3.8,2.200000048,25.5521917559795
SSD,South Sudan,2014,4.3,2.599999905,25.599272919722
SSD,South Sudan,2015,4.8,3.0,26.0993389998038
SSD,South Sudan,2016,5.3,3.5,24.930513119821
SSD,South Sudan,2017,4.2,4.1,27.1848244017002
SSD,South Sudan,2018,6.3,4.800000191,18.9297575209348
SSD,South Sudan,2019,6.8,6.671000004,21.3171365460584
SSD,South Sudan,2020,7.3,,
SSD,South Sudan,2021,7.7,,30.151042999214
SSD,South Sudan,2022,8.4,,48.4888320004297
SSD,South Sudan,2023,5.4,,46.6152369503945
SSD,South Sudan,2024,5.4,,
TZA,Tanzania,2010,14.8,2.900000095,46.8823991552172
TZA,Tanzania,2011,14.2,3.200000048,55.7610427273527
TZA,Tanzania,2012,15.3,3.950000048,57.4558483868666
TZA,Tanzania,2013,16.4,4.400000095,56.2075025692215
TZA,Tanzania,2014,23.5,7.0,63.2804353521698
TZA,Tanzania,2015,26.2,10.0,76.2492627491202
TZA,Tanzania,2016,32.8,13.5042328468919,74.3983656514054
TZA,Tanzania,2017,32.1,14.46339989,71.7911684370749
TZA,Tanzania,2018,34.9,15.49069977,75.7301934140355
TZA,Tanzania,2019,37.7,16.59090042,80.5835569684446
TZA,Tanzania,2020,39.9,19.48139954,84.0050558283384
TZA,Tanzania,2021,42.7,22.87540054,86.0162814148027
TZA,Tanzania,2022,45.8,26.86059952,93.0159746238635
TZA,Tanzania,2023,48.3,28.43190002,105.40028112088
TZA,Tanzania,2024,52.4,31.16209984,126.559163217786
UGA,Uganda,2010,12.1,4.300000191,39.6046507276973
UGA,Uganda,2011,14.6,4.599999905,50.0591238800663
UGA,Uganda,2012,20.5,4.800000191,47.6342672974029
UGA,Uganda,2013,13.9,5.099999905,51.1323160552035
UGA,Uganda,2014,20.4,5.400000095,55.9572451997482
UGA,Uganda,2015,18.5,5.699999809,53.8755501186925
UGA,Uganda,2016,26.7,5.9,58.8633638178484
UGA,Uganda,2017,32.4,7.417900085,62.0968142578109
UGA,Uganda,2018,41.9,9.326299667,58.8753608703264
UGA,Uganda,2019,41.3,11.72579956,59.0598078769828
UGA,Uganda,2020,42.1,7.4,62.2824129624858
UGA,Uganda,2021,45.2,10.0,65.6220730009172
UGA,Uganda,2022,47.1,9.636899948,70.1401117953081
UGA,Uganda,2023,51.5,9.286999702,76.2966796632588
UGA,Uganda,2024,55.3,8.949831061,83.165031466902
