country_code,country,year,internet_users,mobile_subscriptions,electricity_access,digital_gap
SOM,"Somalia, Fed. Rep.",2016,1.879999995,46.366719307758,51.1,44.486719312758
SOM,"Somalia, Fed. Rep.",2017,,47.725260177752,52.1,
SOM,"Somalia, Fed. Rep.",2018,,49.5262671956948,50.7,
SOM,"Somalia, Fed. Rep.",2019,2.731400013,51.3194116563494,49.2,48.588011643349404
SOM,"Somalia, Fed. Rep.",2020,15.02369976,53.1133178401473,49.9,38.089618080147304
SOM,"Somalia, Fed. Rep.",2021,23.87479973,51.2059481348129,49.3,27.3311484048129
SOM,"Somalia, Fed. Rep.",2022,27.6,49.6800986995936,48.9,22.0800986995936
SOM,"Somalia, Fed. Rep.",2023,26.12010002,53.9579646939598,50.3,27.837864673959803
SOM,"Somalia, Fed. Rep.",2024,27.94020081,,54.4,
SSD,South Sudan,2010,,15.3910038351303,1.5,
SSD,South Sudan,2011,,17.4959266080871,2.8,
SSD,South Sudan,2012,1.5,21.3829367883201,3.3,19.8829367883201
SSD,South Sudan,2013,2.200000048,25.5521917559795,3.8,23.3521917079795
SSD,South Sudan,2014,2.599999905,25.599272919722,4.3,22.999273014722
SSD,South Sudan,2015,3.0,26.0993389998038,4.8,23.0993389998038
SSD,South Sudan,2016,3.5,24.930513119821,5.3,21.430513119821
SSD,South Sudan,2017,4.1,27.1848244017002,4.2,23.084824401700203
SSD,South Sudan,2018,4.800000191,18.9297575209348,6.3,14.129757329934801
SSD,South Sudan,2019,6.671000004,21.3171365460584,6.8,14.6461365420584
SSD,South Sudan,2020,,,7.3,
SSD,South Sudan,2021,,30.151042999214,7.7,
SSD,South Sudan,2022,,48.4888320004297,8.4,
SSD,South Sudan,2023,,46.6152369503945,5.4,
SSD,South Sudan,2024,,,5.4,
TZA,Tanzania,2010,2.900000095,46.8823991552172,14.8,43.9823990602172
TZA,Tanzania,2011,3.200000048,55.7610427273527,14.2,52.5610426793527
TZA,Tanzania,2012,3.950000048,57.4558483868666,15.3,53.5058483388666
TZA,Tanzania,2013,4.400000095,56.2075025692215,16.4,51.807502474221494
TZA,Tanzania,2014,7.0,63.2804353521698,23.5,56.2804353521698
TZA,Tanzania,2015,10.0,76.2492627491202,26.2,66.2492627491202
TZA,Tanzania,2016,13.5042328468919,74.3983656514054,32.8,60.8941328045135
TZA,Tanzania,2017,14.46339989,71.7911684370749,32.1,57.3277685470749
TZA,Tanzania,2018,15.49069977,75.7301934140355,34.9,60.2394936440355
TZA,Tanzania,2019,16.59090042,80.5835569684446,37.7,63.9926565484446
TZA,Tanzania,2020,19.48139954,84.0050558283384,39.9,64.5236562883384
TZA,Tanzania,2021,22.87540054,86.0162814148027,42.7,63.140880874802704
TZA,Tanzania,2022,26.86059952,93.0159746238635,45.8,66.15537510386349
TZA,Tanzania,2023,28.43190002,105.40028112088,48.3,76.96838110088
TZA,Tanzania,2024,31.16209984,126.559163217786,52.4,95.397063377786
UGA,Uganda,2010,4.300000191,39.6046507276973,12.1,35.304650536697295
UGA,Uganda,2011,4.599999905,50.0591238800663,14.6,45.459123975066305
UGA,Uganda,2012,4.800000191,47.6342672974029,20.5,42.8342671064029
UGA,Uganda,2013,5.099999905,51.1323160552035,13.9,46.032316150203506
UGA,Uganda,2014,5.400000095,55.9572451997482,20.4,50.5572451047482
UGA,Uganda,2015,5.699999809,53.8755501186925,18.5,48.175550309692504
UGA,Uganda,2016,5.9,58.8633638178484,26.7,52.9633638178484
UGA,Uganda,2017,7.417900085,62.0968142578109,32.4,54.6789141728109
UGA,Uganda,2018,9.326299667,58.8753608703264,41.9,49.5490612033264
UGA,Uganda,2019,11.72579956,59.0598078769828,41.3,47.3340083169828
UGA,Uganda,2020,7.4,62.2824129624858,42.1,54.8824129624858
UGA,Uganda,2021,10.0,65.6220730009172,45.2,55.6220730009172
UGA,Uganda,2022,9.636899948,70.1401117953081,47.1,60.5032118473081
UGA,Uganda,2023,9.286999702,76.2966796632588,51.5,67.0096799612588
UGA,Uganda,2024,8.949831061,83.165031466902,55.3,74.215200405902
